fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"571";"ACUI";"stock urge";"20221219";"17945";"20221221";"f_12981";"20221221";"20230228";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"571";"ACUI";"stock urge";"20221219";"17945";"20221221";"f_12981";"20221221";"20230228";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"571";;"stock urge";"20221219";"17945";"20221221";"f_12981";"20221221";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"538";"ACUI";"C538002224";"20221220";"18003";"20221222";"f_12982";"20221222";"20230228";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"538";"ACUI";"C538002224";"20221220";"18003";"20221222";"f_12982";"20221222";"20230228";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";2.00;;48.00;;;96.00;2000;19.20;115.20;;;;
"MG Developpement";"441407061";"517780870";;"538";;"C538002224";"20221220";"18003";"20221222";"f_12982";"20221222";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"501";"ACUI";"C501002872";"20221221";"18062";"20221223";"f_12983";"20221223";"20230228";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"501";;"C501002872";"20221221";"18062";"20221223";"f_12983";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"GF02";"GRAN";"C307000225";"20221207";"18123";"20221223";"f_12984";"20221223";"20230228";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
"MG Developpement";"441407061";"517780870";;"GF02";"GRAN";"C307000225";"20221207";"18123";"20221223";"f_12984";"20221223";"20230228";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"GF02";;"C307000225";"20221207";"18123";"20221223";"f_12984";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;17.00;;;17.00;2000;3.40;20.40;;;;
"MG Developpement";"441407061";"517780870";;"GA101";"GRAN";"19122022_1";"20221219";"18125";"20221223";"f_12985";"20221223";"20230228";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";5.00;;42.00;;;210.00;2000;42.00;252.00;;;;
