fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"A003";"ACUITIS FRANCE SA";;"20220311";"13262";"20220318";"f_10370";"20220318";"20220418";"FA";"EUR";"3661871125703";;"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUITIS FRANCE SA";;"20220311";"13262";"20220318";"f_10370";"20220318";"20220418";"FA";"EUR";"3661871125635";;"COMPRIME EFFERVESCENT - Pack de 24 boites de 20 comprimés";"Nettoyage";1.00;;50.40;;;50.40;2000;10.08;60.48;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUITIS FRANCE SA";;"20220311";"13262";"20220318";"f_10370";"20220318";"20220418";"FA";"EUR";"3661871125697";;"SPRAY GAZ NETTOYAGE (Labo) 150 ML - Unité";"Séchage";2.00;;3.50;;;7.00;2000;1.40;8.40;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUITIS FRANCE SA";;"20220311";"13262";"20220318";"f_10370";"20220318";"20220418";"FA";"EUR";"3661871125659";;"GOBELET DE NETTOYAGE ET DE SECHAGE - Pack de 20";"Mixte";1.00;;24.00;;;24.00;2000;4.80;28.80;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUITIS FRANCE SA";;"20220311";"13262";"20220318";"f_10370";"20220318";"20220418";"FA";"EUR";"3661871125611";;"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;55.20;;;55.20;2000;11.04;66.24;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUITIS FRANCE SA";;"20220311";"13262";"20220318";"f_10370";"20220318";"20220418";"FA";"EUR";"3661871125642";;"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUITIS FRANCE SA";;"20220311";"13262";"20220318";"f_10370";"20220318";"20220418";"FA";"EUR";"PORTLOC";;"Port Local";"Consommable";1.00;;18.00;;;18.00;2000;3.60;21.60;;;;
