"ACF";"HA";"Acuitis";1
"MAA";"HA";"MAA";1
"GAF";"HA";"GrandAudition";1
"ARI";"HA";"Ari";1
"UNI";"HA";"Unisson";1
"DO";"HA";"Direct Optique";1
