"ACF";"ACF";"generique";"Acuitis";1;"FR"
"MAA";"MAA";"generique";"MAA";1;"FR"
"GAF";"GAF";"generique";"GrandAudition";1;"FR"
"ARI";"ARI";"generique";"Ari";1;"FR"
"UNI";"UNI";"generique";"Unisson";1;"FR"
"DO";"DO";"generique";"Direct Optique";1;"FR"
